File Type,Element Type,Element Name
.svelte,variable,ENABLE_OLLAMA_API
.svelte,variable,digest
.svelte,variable,page
.svelte,variable,queryEmbedding
.svelte,variable,chatFinishHandler
.svelte,svelte_prop,actions
.svelte,svelte_prop,ollamaConfig
.svelte,variable,cssContent
.svelte,variable,editMessageHandler
.svelte,variable,samplers
.svelte,variable,cloneModelHandler
.svelte,variable,pinHandler
.svelte,variable,messageChildrenIds
.svelte,variable,actionMessage
.svelte,variable,showConnectionModal
.svelte,svelte_prop,scrollEnd
.svelte,variable,generateId
.svelte,variable,updateInterfaceHandler
.svelte,function,updateProgress
.svelte,variable,maxSimilarity
.svelte,variable,showImagePreview
.svelte,variable,handleUploadError
.svelte,variable,onEdit
.svelte,svelte_prop,typingUsers
.svelte,variable,dismissedUpdateToast
.svelte,variable,draggedOver
.svelte,svelte_prop,searchEnabled
.svelte,function,exportTableToCSVHandler
.svelte,variable,urlModels
.svelte,variable,index
.svelte,variable,plainText
.svelte,function,onDragEnd
.svelte,variable,showModelSelector
.svelte,variable,getFilteredPrompts
.svelte,variable,OPENAI_API_KEYS
.svelte,variable,childrenIds
.svelte,variable,mergeResponsesHandler
.svelte,function,createLabel
.svelte,variable,count
.svelte,variable,onAddMessages
.svelte,variable,previewElement
.svelte,variable,validateJSON
.svelte,variable,isExpandedUpdateHandler
.svelte,variable,file
.svelte,variable,customFieldValue
.svelte,function,verifyHandler
.svelte,function,messageHandler
.svelte,variable,responseDone
.svelte,svelte_prop,valvesSpec
.svelte,svelte_prop,alt
.svelte,variable,selectedPipelineIdx
.svelte,variable,LDAP_SERVER
.svelte,variable,cloneHandler
.svelte,variable,meta
.svelte,variable,filteredTags
.svelte,variable,redirectPath
.svelte,variable,folders
.svelte,variable,timezone
.svelte,variable,_code
.svelte,function,isTopModal
.svelte,variable,eventTarget
.svelte,variable,editMessage
.svelte,variable,editChatTitle
.svelte,variable,models
.svelte,variable,selected
.svelte,variable,createModelHandler
.svelte,variable,hasSound
.svelte,variable,dismissible
.svelte,variable,OPENAI_API_KEY
.svelte,svelte_prop,imageUrls
.svelte,variable,initFolders
.svelte,svelte_prop,side
.svelte,variable,updateProgress
.svelte,variable,documentClickHandler
.svelte,variable,showDefaultPermissionsModal
.svelte,variable,displayMode
.svelte,variable,exportTableToCSVHandler
.svelte,variable,requestFormat
.svelte,svelte_prop,item
.svelte,variable,fileMaxSize
.svelte,variable,modelFileDigest
.svelte,variable,deleteModelTag
.svelte,svelte_prop,onClick
.svelte,variable,searchData
.svelte,variable,getEmbeddings
.svelte,variable,getVideoInputDevices
.svelte,svelte_prop,history
.svelte,variable,filtered
.svelte,variable,url
.svelte,variable,enabled
.svelte,svelte_prop,isFirstMessage
.svelte,variable,_value
.svelte,variable,contentType
.svelte,variable,permissions
.svelte,variable,verifyHandler
.svelte,variable,messageHandler
.svelte,svelte_prop,tokens
.svelte,variable,initNewChat
.svelte,variable,uploadFileHandler
.svelte,svelte_prop,editHandler
.svelte,svelte_prop,continueResponse
.svelte,svelte_prop,banner
.svelte,variable,showAPIKeys
.svelte,variable,evaluationConfig
.svelte,variable,type
.svelte,svelte_prop,sessionUser
.svelte,variable,domainData
.svelte,function,onAttributesUpdate
.svelte,variable,exportAllUserChats
.svelte,variable,mergeResponses
.svelte,variable,youtubeTranslation
.svelte,variable,loadMoreMessages
.svelte,function,handleKeyDown
.svelte,variable,showDeleteConfirm
.svelte,variable,unescapedOutput
.svelte,variable,isTopModal
.svelte,variable,regex
.svelte,variable,showRateComment
.svelte,variable,toggleNotification
.svelte,svelte_prop,folderId
.svelte,svelte_prop,pipeline
.svelte,variable,setupSocket
.svelte,variable,richTextInput
.svelte,variable,chunkOverlap
.svelte,function,handleVisibilityChange
.svelte,svelte_prop,group
.svelte,svelte_prop,small
.svelte,function,startDurationCounter
